			Id(Bk)Syl1	Id(Bk)	*F3	*B1	*B2
	yEO		 1 	 3 	 2 		 1 
uea	uea	 1 					
	ueA			 1 	 1 		
	uEa			 1 			 1 
	uEA			 2 	 1 		 1 
	yea		 1 	 1 	 1 		
	yeA		 1 	 2 	 2 		
	yEa		 1 	 2 	 1 		 1 
	yEA		 1 	 3 	 2 		 1 
ueu	ueu	 1 					
	uey			 1 	 1 		
	uEu			 1 			 1 
	uEy			 2 	 1 		 1 
	yeu		 1 	 1 	 1 		
	yey		 1 	 2 	 2 		
	yEu		 1 	 2 	 1 		 1 
	yEy		 1 	 3 	 2 		 1 
uie	uie	 1 					
	uiE			 1 			 1 
	uIe			 1 		 1 	 1 
	uIE			 2 		 1 	 2 
	yie		 1 	 1 	 1 		
	yiE		 1 	 2 	 1 		 1 
	yIe		 1 	 2 	 1 	 1 	 1 
	yIE		 1 	 3 	 1 	 1 	 2 
uii	uii	 1 					
	uiI			 1 		 1 	 1 
	uII			 2 		 2 	 2 
	yii		 1 	 1 	 1 		
	yiI		 1 	 2 	 1 	 1 	 1 
	yII		 1 	 3 	 1 	 2 	 2 
uio	uio	 1 					
	uiO			 1 	 1 		
	uIo			 1 		 1 	 1 
	uIO			 2 	 1 	 1 	 1 
	yio		 1 	 1 	 1 		
	yiO		 1 	 2 	 2 		
	yIo		 1 	 2 	 1 	 1 	 1 
	yIO		 1 	 3 	 2 	 1 	 1 
uia	uia	 1 					
	uiA			 1 	 1 		
	uIa			 1 		 1 	 1 
	uIA			 2 	 1 	 1 	 1 
	yia		 1 	 1 	 1 		
	yiA		 1 	 2 	 2 		
	yIa		 1 	 2 	 1 	 1 	 1 
	yIA		 1 	 3 	 2 	 1 	 1 
uiu	uiu	 1 					
	uiy			 1 	 1 		
	uIu			 1 		 1 	 1 
	uIy			 2 	 1 	 1 	 1 
	yiu		 1 	 1 	 1 		
	yiy		 1 	 2 	 2 		
	yIu		 1 	 2 	 1 	 1 	 1 
	yIy		 1 	 3 	 2 	 1 	 1 
uoe	uoe	 1 					
	uoE			 1 			 1 
	uOe			 1 	 1 		
	uOE			 2 	 1 		 1 
	yoe		 1 	 1 	 1 		
	yoE		 1 	 2 	 1 		 1 
	yOe		 1 	 2 	 2 		
	yOE		 1 	 3 	 2 		 1 
uoi	uoi	 1 					
	uoI			 1 		 1 	 1 
	uOi			 1 	 1 		
	uOI			 2 	 1 	 1 	 1 
	yoi		 1 	 1 	 1 		
	yoI		 1 	 2 	 1 	 1 	 1 
	yOi		 1 	 2 	 2 		
	yOI		 1 	 3 	 2 	 1 	 1 
uoo	uoo	 1 					
	uoO			 1 	 1 		
	uOO			 2 	 2 		
	yoo		 1 	 1 	 1 		
	yoO		 1 	 2 	 2 		
	yOO		 1 	 3 	 3 		
uoa	uoa	 1 					
	uoA			 1 	 1 		
	uOA			 2 	 2 		
	yoa		 1 	 1 	 1 		
	yoA		 1 	 2 	 2 		
	yOA		 1 	 3 	 3 		
uou	uou	 1 					
	uoy			 1 	 1 		
	uOy			 2 	 2 		
	you		 1 	 1 	 1 		
	yoy		 1 	 2 	 2 		
	yOy		 1 	 3 	 3 		
uae	uae	 1 					
	uaE			 1 			 1 
	uAe			 1 	 1 		
	uAE			 2 	 1 		 1 
	yae		 1 	 1 	 1 		
	yaE		 1 	 2 	 1 		 1 
	yAe		 1 	 2 	 2 		
	yAE		 1 	 3 	 2 		 1 
uai	uai	 1 					
	uaI			 1 		 1 	 1 
	uAi			 1 	 1 		
	uAI			 2 	 1 	 1 	 1 
	yai		 1 	 1 	 1 		
	yaI		 1 	 2 	 1 	 1 	 1 
	yAi		 1 	 2 	 2 		
	yAI		 1 	 3 	 2 	 1 	 1 
uao	uao	 1 					
	uaO			 1 	 1 		
	uAO			 2 	 2 		
	yao		 1 	 1 	 1 		
	yaO		 1 	 2 	 2 		
	yAO		 1 	 3 	 3 		
uaa	uaa	 1 					
	uaA			 1 	 1 		
	uAA			 2 	 2 		
	yaa		 1 	 1 	 1 		
	yaA		 1 	 2 	 2 		
	yAA		 1 	 3 	 3 		
uau	uau	 1 					
	uay			 1 	 1 		
	uAy			 2 	 2 		
	yau		 1 	 1 	 1 		
	yay		 1 	 2 	 2 		
	yAy		 1 	 3 	 3 		
uue	uue	 1 					
	uuE			 1 			 1 
	uye			 1 	 1 		
	uyE			 2 	 1 		 1 
	yue		 1 	 1 	 1 		
	yuE		 1 	 2 	 1 		 1 
	yye		 1 	 2 	 2 		
	yyE		 1 	 3 	 2 		 1 
uui	uui	 1 					
	uuI			 1 		 1 	 1 
	uyi			 1 	 1 		
	uyI			 2 	 1 	 1 	 1 
	yui		 1 	 1 	 1 		
	yuI		 1 	 2 	 1 	 1 	 1 
	yyi		 1 	 2 	 2 		
	yyI		 1 	 3 	 2 	 1 	 1 
uuo	uuo	 1 					
	uuO			 1 	 1 		
	uyO			 2 	 2 		
	yuo		 1 	 1 	 1 		
	yuO		 1 	 2 	 2 		
	yyO		 1 	 3 	 3 		
uua	uua	 1 					
	uuA			 1 	 1 		
	uyA			 2 	 2 		
	yua		 1 	 1 	 1 		
	yuA		 1 	 2 	 2 		
	yyA		 1 	 3 	 3 		
uuu	uuu	 1 					
	uuy			 1 	 1 		
	uyy			 2 	 2 		
	yuu		 1 	 1 	 1 		
	yuy		 1 	 2 	 2 		
	yyy		 1 	 3 	 3 		
